No.,Quantity,Comment,Designator,Footprint,Value,Manufacturer Part,Manufacturer
1,5,100nF,"C1,C113,C114,C128,C129",C0603,100nF,CC0603KRX7R9BB104,YAGEO(国巨)
2,2,1uF,"C2,C127",C0603,1uF,CL10A105KB8NNNC,SAMSUNG(三星)
3,11,100nF,"C5,C6,C7,C10,C11,C12,C115,C116,C117,C118,C119",C0402,100nF,CL05B104KO5NNNC,SAMSUNG(三星)
4,6,100nF,"C9,C58,C59,C61,C62,C111",C0402,100nF,CL05B104KB54PNC,SAMSUNG(三星)
5,4,20pF,"C13,C20,C21,C120",C0402,20pF,0402CG200J500NT,FH(风华)
6,5,10uF,"C22,C23,C60,C63,C121",C0603,10uF,CL10A106MA8NRNC,SAMSUNG(三星)
7,6,22uF,"C24,C26,C122,C123,C124,C125",C0603,22uF,CL10A226MQ8NRNC,SAMSUNG(三星)
8,1,22pF,C25,C0402,22pF,0402CG220J500NT,FH(风华)
9,2,10nF,"C112,C126",C0603,10nF,0603B103K500NT,FH(风华)
10,2,RClamp0524PATCT,"D2,D6",SLP2510P8_L2.5-W1.0-P0.50-BL,,RClamp0524PATCT,SEMTECH
11,1,HDMI-019S,HDMI1,HDMI-SMD_HDMI-019S,,HDMI-019S,SOFNG(硕方)
12,1,CH9329,HID,SOP-16_L9.9-W3.9-P1.27-LS6.0-BL,,CH9329,WCH(南京沁恒)
13,2,TYPE-611A-T3,"Host-USB,Target-USB",USB-C-SMD_TYPE-611A-T3,,TYPE-611A-T3,Yuandi(元迪)
14,2,SL2.1s,"HUB1,HUB2",SSOP-16_L4.6-W2.6-P0.53-LS4.0-BL,,SL2.1s,CoreChips(和芯润德)
15,2,10uH,"L2,L3",L0805,10uH,MLZ2012M100WT000,TDK
16,2,2.2uH,"L4,L5",IND-SMD_L2.0-W1.6,2.2uH,CKCS201610-2.2uH/M,CENKER(岑科)
17,1,RT9193-33GB,LDO1,SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BL,,RT9193-33GB,RICHTEK(立锜)
18,4,4.7kΩ,"R1,R6,R7,R9",R0402,4.7kΩ,0402WGF4701TCE,UNI-ROYAL(厚声)
19,1,1kΩ,R2,R0402,1kΩ,0402WGF1001TCE,UNI-ROYAL(厚声)
20,2,47kΩ,"R3,R4",R0402,47kΩ,0402WGF4702TCE,UNI-ROYAL(厚声)
21,1,680kΩ,R8,R0402,680kΩ,RC0402FR-07680KL,YAGEO(国巨)
22,4,5.1kΩ,"R11,R12,R48,R49",R0402,5.1kΩ,0402WGF5101TCE,UNI-ROYAL(厚声)
23,3,150kΩ,"R13,R15,R45",R0603,150kΩ,0603WAF1503T5E,UNI-ROYAL(厚声)
24,3,10kΩ,"R14,R46,R47",R0603,10kΩ,0603WAF1002T5E,UNI-ROYAL(厚声)
25,2,22Ω,"R30,R31",R0603,22Ω,0603WAF220JT5E,UNI-ROYAL(厚声)
26,1,SK12D07VG4,SW1,SW-TH_SK12D07VG4,,SK12D07VG4,SHOU HAN(首韩)
27,2,BLM18PG121SN1D,"U2,U17",L0603,,BLM18PG121SN1D,muRata(村田)
28,1,AT24C16M/TR,U3,SOP-8_L4.9-W3.9-P1.27-LS6.0-BL,,AT24C16M/TR,HGSEMI(华冠)
29,2,MT3520B,"U6,U16",SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BR,,MT3520B,西安航天民芯
30,1,MS2109,U15,QFN-48_L7.0-W7.0-P0.50-TL-EP4.1,,,
31,1,FSUSB42MUX,U18,MSOP-10_L3.0-W3.0-P0.50-LS5.0-BL,,FSUSB42MUX,onsemi(安森美)
32,2,CH213K,"U19,U20",SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR,,CH213K,
33,1,AF 10.0 HC6.3,USB-SLAVE,USB-A-TH_AF-10.0-HC6.3,,AF 10.0 HC6.3,SHOU HAN(首韩)
34,1,CH340C,USB-TTL,SOP-16_L10.0-W3.9-P1.27-LS6.0-BL,,CH340C,WCH(南京沁恒)
35,2,12MHz,"X1,X3",CRYSTAL-SMD_4P-L3.2-W2.5-BL,12MHz,TAXM12M4RLBDDT2T,TAE(雅晶鑫)
36,1,-,X2,OSC-SMD_4P-L3.2-W2.5-BL,-,SX32Y024000BC1T,TKD(泰晶)
